text_id	sent_id	sentence	meaning	verb_in_sentence	val_type	P_arg	expression_type	deter_present	det_form	notes
mocCA190924_1	39	kaʔˈnem naˈɣi naˈɣi weːtaˈɲi najaˈʔa	y ahora, así como hoy él está conmigo en mi casa	be	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	40	ka we ka ɲaʔaːtʃik maʔ ɲapaʁaɣintaʔpɣeʔ  da qaɾeloʁojaʁak saʔqataʁantapeɣe qajka ka iʔɣentaβa qaɾeloʁojaʁak	y gracias a que nos enseñamos de nuestra costumbre yo le estoy comentado que nadie puede igualar nuestra costumbre	transfer_knowledge	two-place	yes	nominal	yes	ɾa	
mocCA190924_1	40			speak	two-place-aɢan_intr-ext	yes	morphological	no	not_applicable	
mocCA190924_1	40			be_equal	two-place	yes	nominal	no	not_applicable	
mocCA190924_1	41	jatom qoʎiɣitaʁa londeɣeʁat  peɾo ranem ɲiɣi ɲaqataʁantaʔpegɪ kaʔ  noqoʔin kal leβaːnaʁanaʁak	incredulidad grande          pero así como ahora que estamos hablando y aumenta su visión	speak	two-place-aɢan_intr-ext	yes	morphological	no	not_applicable	
mocCA190924_1	41			augment	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	42	ɲaʔaːtʃik gɾacia   aha jaʔdentanaq qaɾowoʔ paɾaʁanaʁajkipi	gracias, gracias   sí, saben nuestros hermanos cazadores	know	two-place	yes	nominal	no 	not_applicable	
mocCA190924_1	43	da iʃiɾa ɲamaʁatqatʃiɣiɲi ɾasot paɾaʁanak              donak iʒi ɲiːaːlek	que no podemos alistarnos bien cuando salimos a cazar  así como dijo mi hijo recién	get_redy	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	43			move_feet	one-place	not_applicable	not_applicable	not_applicable	not_applicable	
mocCA190924_1	43			say	two-place	yes	sentential	not_applicable	not_applicable	
mocCA190924_1	44	qajaʃiːla so laʔanoʔoːtʃi reloqota na isiɣijak	se le pide permiso al dios del monte que es el que cuida todos los animales del monte	ask_for_permission	two-place	yes	nominal	yes	so	
mocCA190924_1	44			take_care	two-place	yes	nominal	yes	na	
mocCA190924_1	45	qaʔ ka dʒapaʁaɣiniɣe peːʔ  ɲovirtaʔ naʔoːtʃi naɲaːɲi ka sedaːntake	y me enseñó el abuelo      llego al monte y digo: dame lo que estoy buscando	transfer_knowledge	two-place	yes	morphological	no	not_applicable	
mocCA190924_1	45			arrive	one-place-ext	yes	nominal	no	not_applicable	
mocCA190924_1	45			give	three-place	yes	sentential	yes	ka	
mocCA190924_1	45			look_for	two-place	yes	zero	no	not_applicable	
mocCA190924_1	46	retaʁajaʁak kaʔ qom paɾaʁanaʁajk  peːʔ naɲaːɲi kaʔhe iʔsiɣijak	así dice el hombre cazador        abuelo, dame el animal	give	three-place	yes	nominal	yes	ka	
mocCA190924_1	47	qaʔ maʔle sikijaʁantak ka ka iβoɾa        ka qajka ka loʋik qaɾaβ sasaʃilaʁanaq	así le voy a dar de comer a mi compañera  así es todo fácil pero si no pedimos	eat	two-place-ɢan_intr	yes	nominal	yes	ka	
mocCA190924_1	47			ask_for_permission	two-place-ɢan_intr	no	zero	no	not_applicable	
mocCA190924_1	48	jatoʁ weɾa loviːʔk masasaʃilaq soʁo laʔanaʔoːtʃi	así cuesta mucho, nada podemos hacer, porque no le pedimos al dueño del monte	ask_for_permission	two-place	yes	nominal	yes	so	
mocCA190924_1	49	reloqota na isiɣijak                                     	porque él es el que cuida a todo los animales del monte  	take_care	two-place	yes	nominal	yes	na	
